lemma,pos,other_verified_pos,verified_by,oxford_levels_same_pos,oxford_entry,octanove_level,cefrj_level,disagreement,corpus,efllex_word,efllex_pos,efllex_match,efllex_a1,efllex_a2,efllex_b1,efllex_b2,efllex_c1,efllex_total,efllex_nb_doc,efllex_first_level,efllex_b2c1_share,zipf
articulate,verb,,oxford5000,c1,articulate_1,,B2,cefrj:B2,efllex,articulate,verb,lemma+pos,0.0,0.0,0.0,0.0,0.1559,0.0314,1,C1,1.0,3.54
ash,noun,,oxford5000,c1,ash_1,,B2,cefrj:B2,efllex,ash,noun,lemma+pos,0.0,14.0572,0.0,0.8294,0.0,2.3151,7,A2,0.056,4.16
aspiration,noun,,oxford5000,c1,aspiration,,B2,cefrj:B2,efllex,aspiration,noun,lemma+pos,0.0,0.0,0.0,0.0,1.6303,0.4535,2,C1,1.0,3.3
aspire,verb,,oxford5000,c1,aspire,,B2,cefrj:B2,wordfreq,,,,,,,,,,,,,3.47
assault,noun,verb,oxford5000,c1,assault_1,,B2,cefrj:B2,efllex,assault,noun,lemma+pos,0.0,0.0,0.0,0.0,7.1057,0.8049,3,C1,1.0,4.44
assemble,verb,,oxford5000,c1,assemble,,B2,cefrj:B2,efllex,assemble,verb,lemma+pos,0.0,0.0,0.0,0.0,1.2183,0.1606,2,C1,1.0,3.64
assembly,noun,,oxford5000,c1,assembly,,B2,cefrj:B2,efllex,assembly,noun,lemma+pos,0.0,0.0,0.1675,0.0,3.2663,0.8214,3,B1,0.951,4.61
assert,verb,,oxford5000,c1,assert,,B2,cefrj:B2,efllex,assert,verb,lemma+pos,0.0,0.0,0.0,0.0,0.8152,0.2268,1,C1,1.0,3.62
assertion,noun,,oxford5000,c1,assertion,C1,,,wordfreq,,,,,,,,,,,,,3.63
assurance,noun,,oxford5000,c1,assurance,,B2,cefrj:B2,efllex,assurance,noun,lemma+pos,0.0,0.0,0.0,0.8294,0.0,0.2268,1,B2,1.0,3.81
asylum,noun,,oxford5000,c1,asylum,,,,efllex,asylum,noun,lemma+pos,0.0,0.0,0.0,0.0,0.8152,0.2268,1,C1,1.0,3.99
atmospheric,adjective,,octanove,,,C1,,,efllex,atmospheric,adjective,lemma+pos,0.0,0.0,0.0,0.0,0.8152,0.2268,1,C1,1.0,3.84
attain,verb,,oxford5000,c1,attain,,B1,cefrj:B1,wordfreq,,,,,,,,,,,,,3.6
attendance,noun,,oxford5000,c1,attendance,,B2,cefrj:B2,wordfreq,,,,,,,,,,,,,4.17
attorney,noun,,oxford5000,c1,attorney,,,,efllex,attorney,noun,lemma+pos,0.0,0.0,1.3622,0.0,2.807,1.1278,3,B1,0.673,4.69
attribute,verb,noun,oxford5000,c1,attribute_1,,B2,cefrj:B2,efllex,attribute,verb,lemma+pos,0.0,0.0,0.0,0.0,0.1804,0.045,1,C1,1.0,3.77
audit,noun,,oxford5000,c1,audit_1,C2,B2,cefrj:B2,wordfreq,,,,,,,,,,,,,4.04
authentic,adjective,,oxford5000,c1,authentic,,,,efllex,authentic,adjective,lemma+pos,2.4671,0.0,1.6375,0.3154,0.6091,2.3729,4,A1,0.184,4.04
authorize,verb,,oxford5000,c1,authorize,,B2,cefrj:B2,wordfreq,,,,,,,,,,,,,3.38
autonomy,noun,,oxford5000,c1,autonomy,,,,wordfreq,,,,,,,,,,,,,3.86
availability,noun,,oxford5000,c1,availability,,B2,cefrj:B2,efllex,availability,noun,lemma+pos,0.0,0.0,2.5892,0.0,0.0,0.0865,1,B1,0.0,4.13
avid,adjective,,octanove,,,C1,,,efllex,avid,adjective,lemma+pos,0.0,0.0,0.0,0.0,0.6091,0.0803,1,C1,1.0,3.5
await,verb,,oxford5000,c1,await,,B2,cefrj:B2,efllex,await,verb,lemma+pos,0.0,0.0,0.0,0.0,0.1804,0.045,1,C1,1.0,3.63
backdrop,noun,,oxford5000,c1,backdrop,,,,efllex,backdrop,noun,lemma+pos,0.0,0.0,0.0,0.0,1.6303,0.4535,2,C1,1.0,3.58
backing,noun,,oxford5000,c1,backing,,,,efllex,backing,noun,lemma+pos,0.0,0.0,0.0,0.0,0.1559,0.0314,1,C1,1.0,4.23
backup,noun,,oxford5000,c1,backup,,B2,cefrj:B2,efllex,backup,noun,lemma+pos,0.0,0.0,1.6375,0.0,0.0,0.2268,1,B1,0.0,4.21
bail,noun,,oxford5000,c1,bail_1,,,,efllex,bail,noun,lemma+pos,0.0,0.0,0.0,0.0,0.1559,0.0314,1,C1,1.0,4.01
ballot,noun,,oxford5000,c1,ballot_1,,B2,cefrj:B2,wordfreq,,,,,,,,,,,,,4.06
banner,noun,,oxford5000,c1,banner,,,,efllex,banner,noun,lemma+pos,0.0,0.0,0.0,0.1311,0.0,0.0314,1,B2,1.0,4.12
bare,adjective,,oxford5000,c1,bare_1,,B1,cefrj:B1,efllex,bare,adjective,lemma+pos,0.0,0.887,0.5308,0.1311,1.8171,2.6406,5,A2,0.579,4.18
barrel,noun,,oxford5000,c1,barrel_1,,B1,cefrj:B1,efllex,barrel,noun,lemma+pos,0.0,0.0,0.0,3.3735,1.8171,1.8073,3,B2,1.0,4.17
battlefield,noun,,oxford5000,c1,battlefield,,B2,cefrj:B2,efllex,battlefield,noun,lemma+pos,0.0,0.0,0.0,0.0,0.9086,0.0678,1,C1,1.0,3.93
beam,noun,,oxford5000,c1,beam_1,,B2,cefrj:B2,efllex,beam,noun,lemma+pos,0.0,0.0,0.0,2.1924,2.133,1.6166,5,B2,1.0,4.14
beast,noun,,oxford5000,c1,beast,,B1,cefrj:B1,wordfreq,,,,,,,,,,,,,4.29
behalf,noun,,oxford5000,c1,behalf,,B1,cefrj:B1,efllex,behalf,noun,lemma+pos,0.0,0.0,0.0,0.0,0.9086,0.0678,1,C1,1.0,4.42
beloved,adjective,,oxford5000,c1,beloved_1,,B1,cefrj:B1,efllex,beloved,adjective,lemma+pos,0.0,4.1484,0.0,2.0247,0.8152,2.628,6,A2,0.406,4.17
benchmark,noun,,oxford5000,c1,benchmark_1,,,,wordfreq,,,,,,,,,,,,,3.6
beneath,preposition,,oxford5000,c1,beneath_1,,B1,cefrj:B1,efllex,beneath,preposition,lemma+pos,0.0,0.0,0.0,49.0577,59.8306,25.8608,21,B2,1.0,4.24
beneficiary,noun,,oxford5000,c1,beneficiary,C2,,,wordfreq,,,,,,,,,,,,,3.37
benign,adjective,,octanove,,,C1,,,efllex,benign,adjective,lemma+pos,0.0,0.0,0.0,0.4103,0.0,0.0803,1,B2,1.0,3.51
betray,verb,,oxford5000,c1,betray,,B2,cefrj:B2,efllex,betray,verb,lemma+pos,0.0,0.0,0.0,1.3498,4.9989,1.8447,4,B2,1.0,3.42
bind,verb,,oxford5000,c1,bind_1,,B2,cefrj:B2,efllex,bind,verb,lemma+pos,0.0,0.0,1.3622,0.8294,9.3954,3.4697,5,B1,0.882,3.75
biography,noun,,oxford5000,c1,biography,,B1,cefrj:B1,efllex,biography,noun,lemma+pos,0.0,0.0,0.0,0.0,6.3176,1.0267,3,C1,1.0,3.89
bishop,noun,,oxford5000,c1,bishop,,B1,cefrj:B1,efllex,bishop,noun,lemma+pos,0.0,0.0,0.0,0.0,28.1654,2.1014,3,C1,1.0,4.38
bizarre,adjective,,oxford5000,c1,bizarre,,B2,cefrj:B2,efllex,bizarre,adjective,lemma+pos,0.0,0.0,2.5892,5.1855,0.0,2.0668,3,B1,0.667,4.02
blade,noun,,oxford5000,c1,blade,,B2,cefrj:B2,efllex,blade,noun,lemma+pos,0.0,0.0,0.0,0.0,10.2834,1.5154,3,C1,1.0,4.19
blast,noun,verb,oxford5000,c1,blast_1,,B2,cefrj:B2,efllex,blast,noun,lemma+pos,0.0,0.0,0.0,0.0,0.6091,0.0803,1,C1,1.0,4.32
bleed,verb,,oxford5000,c1,bleed,,B1,cefrj:B1,efllex,bleed,verb,lemma+pos,0.0,0.0,0.0,5.5671,1.0665,1.8502,4,B2,1.0,3.72
blend,noun,verb,oxford5000,c1,blend_2,,B2,cefrj:B2,efllex,blend,noun,lemma+pos,0.0,0.0,0.0,0.8294,0.1804,0.611,2,B2,1.0,3.95
bless,verb,,oxford5000,c1,bless_1,,B1,cefrj:B1,wordfreq,,,,,,,,,,,,,4.17
blessing,noun,,oxford5000,c1,blessing,,B1,cefrj:B1,wordfreq,,,,,,,,,,,,,4.06
blockbuster,noun,,octanove,,,C1,,,efllex,blockbuster,noun,lemma+pos,0.0,0.0,0.0,0.0,0.1559,0.0314,1,C1,1.0,3.48
boast,verb,,oxford5000,c1,boast_1,,B1,cefrj:B1,efllex,boast,verb,lemma+pos,0.0,0.0,0.0,0.0,4.6544,0.7357,2,C1,1.0,3.51
boom,noun,,oxford5000,c1,boom_1,,B1,cefrj:B1,efllex,boom,noun,lemma+pos,0.0,0.0,0.0,0.8294,0.0,0.2268,1,B2,1.0,4.33
bounce,verb,,oxford5000,c1,bounce_1,,B1,cefrj:B1,efllex,bounce,verb,lemma+pos,0.0,0.0,0.0,1.6588,0.0,0.4535,2,B2,1.0,4.02
boundary,noun,,oxford5000,c1,boundary,,,,efllex,boundary,noun,lemma+pos,0.0,0.0,0.296,0.0,6.2163,1.8016,4,B1,0.955,4.13
breach,noun,verb,oxford5000,c1,breach_1,,,,efllex,breach,noun,lemma+pos,0.0,0.0,0.0,0.8294,0.0,0.2268,1,B2,1.0,4.13
breakdown,noun,,oxford5000,c1,breakdown,,B2,cefrj:B2,efllex,breakdown,noun,lemma+pos,0.0,0.0,0.0,0.1311,0.6091,0.5862,2,B2,1.0,4.1
breakthrough,noun,,oxford5000,c1,breakthrough_1,,B1,cefrj:B1,efllex,breakthrough,noun,lemma+pos,0.0,0.0,0.0,2.4881,3.3177,2.6443,5,B2,1.0,3.83
breed,verb,noun,oxford5000,c1,breed_1,,B1,cefrj:B1,efllex,breed,verb,lemma+pos,0.0,0.0,0.0,0.3154,0.0,0.045,1,B2,1.0,4.08
bribe,noun,verb,octanove,,,C1,,,efllex,bribe,noun,lemma+pos,0.0,0.0,0.0,0.0,1.921,0.1433,2,C1,1.0,3.5
broadband,noun,,oxford5000,c1,broadband,,B2,cefrj:B2,wordfreq,,,,,,,,,,,,,3.69
browser,noun,,oxford5000,c1,browser,,B2,cefrj:B2,wordfreq,,,,,,,,,,,,,3.89
brutal,adjective,,oxford5000,c1,brutal,,,,efllex,brutal,adjective,lemma+pos,0.0,0.0,0.0,0.0,0.1559,0.0314,1,C1,1.0,4.1
buddy,noun,,oxford5000,c1,buddy_1,,B1,cefrj:B1,efllex,buddy,noun,lemma+pos,0.0,0.0,2.7244,0.0,0.0,0.1625,2,B1,0.0,4.4
buffer,noun,,oxford5000,c1,buffer_1,C1,,,wordfreq,,,,,,,,,,,,,3.78
bulk,noun,,oxford5000,c1,bulk_1,C1,,,wordfreq,,,,,,,,,,,,,4.19
burden,noun,,oxford5000,c1,burden_1,,B1,cefrj:B1,wordfreq,,,,,,,,,,,,,4.23
bureaucracy,noun,,oxford5000,c1,bureaucracy,,B2,cefrj:B2,wordfreq,,,,,,,,,,,,,3.55
bureaucratic,adjective,,octanove,,,C1,,,efllex,bureaucratic,adjective,lemma+pos,0.0,0.0,0.0,0.8294,0.0,0.2268,1,B2,1.0,3.4
burial,noun,,oxford5000,c1,burial,,B2,cefrj:B2,wordfreq,,,,,,,,,,,,,3.9
burst,verb,noun,oxford5000,c1,burst_1,,B1,cefrj:B1,efllex,burst,verb,lemma+pos,0.0,0.0,1.3622,32.4467,13.4482,12.6299,14,B1,0.971,4.15
bypass,verb,,octanove,,,C1,,,efllex,bypass,verb,lemma+pos,0.0,0.0,0.0,0.0,0.6091,0.0803,1,C1,1.0,3.76
cabinet,noun,,oxford5000,c1,cabinet,,B2,cefrj:B2,wordfreq,,,,,,,,,,,,,4.49
calculation,noun,,oxford5000,c1,calculation,,B1,cefrj:B1,efllex,calculation,noun,lemma+pos,0.0,0.0,0.0,0.0,3.2859,0.6497,2,C1,1.0,3.76
canvas,noun,,oxford5000,c1,canvas,,,,efllex,canvas,noun,lemma+pos,0.0,0.0,0.0,1.577,7.42,3.097,3,B2,1.0,3.96
capability,noun,,oxford5000,c1,capability,,B2,cefrj:B2,efllex,capability,noun,lemma+pos,0.0,0.0,0.0,0.0,0.3118,0.0629,2,C1,1.0,4.07
capitalism,noun,,oxford5000,c1,capitalism,,,,efllex,capitalism,noun,lemma+pos,0.0,0.0,0.0,0.0,0.8152,0.2268,1,C1,1.0,3.97
capitalist,adjective,,oxford5000,c1,capitalist_1,,,,efllex,capitalist,adjective,lemma+pos,0.0,0.0,0.0,0.0,0.8152,0.2268,1,C1,1.0,3.79
cargo,noun,,oxford5000,c1,cargo,,,,efllex,cargo,noun,lemma+pos,0.0,0.0,0.0,0.8294,0.0,0.2268,1,B2,1.0,4.19
carriage,noun,,oxford5000,c1,carriage,,B1,cefrj:B1,efllex,carriage,noun,lemma+pos,52.2696,0.3248,31.5635,9.7716,33.2658,35.9425,21,A1,0.338,3.85
carrier,noun,,octanove,,,C1,,,efllex,carrier,noun,lemma+pos,0.0,0.0,0.0,0.0,0.8152,0.2268,1,C1,1.0,4.29
carve,verb,,oxford5000,c1,carve,,B2,cefrj:B2,efllex,carve,verb,lemma+pos,0.0,0.0,2.7244,0.0,0.0,0.1625,1,B1,0.0,3.41
casualty,noun,,oxford5000,c1,casualty_1,,,,wordfreq,,,,,,,,,,,,,3.61
catalogue,noun,,oxford5000,c1,catalogue_1,,B2,cefrj:B2,efllex,catalogue,noun,lemma+pos,0.0,0.0,2.5892,38.3874,0.0,7.6033,12,B1,0.937,3.91
cater,verb,,oxford5000,c1,cater,,,,efllex,cater,verb,lemma+pos,0.0,0.887,2.5892,0.1311,0.8152,1.9787,4,A2,0.214,3.55
cattle,noun,,oxford5000,c1,cattle,,B1,cefrj:B1,efllex,cattle,noun,lemma+pos,0.0,6.9339,0.0,0.5926,1.8714,2.8247,6,A2,0.262,4.15
caution,noun,,oxford5000,c1,caution_1,,B1,cefrj:B1,efllex,caution,noun,lemma+pos,0.0,0.0,0.0,0.0,0.6091,0.0803,1,C1,1.0,3.97
cautious,adjective,,oxford5000,c1,cautious,,B1,cefrj:B1,efllex,cautious,adjective,lemma+pos,0.0,0.0,2.7244,3.9002,0.6091,3.0381,5,B1,0.623,3.79
cease,verb,,oxford5000,c1,cease,,B2,cefrj:B2,efllex,cease,verb,lemma+pos,0.0,0.0,0.0,0.0,28.0071,4.5398,7,C1,1.0,4.03
cemetery,noun,,oxford5000,c1,cemetery,,B2,cefrj:B2,efllex,cemetery,noun,lemma+pos,0.0,0.3436,0.754,0.0,2.4455,2.3141,4,A2,0.69,4.06
chamber,noun,,oxford5000,c1,chamber,,,,efllex,chamber,noun,lemma+pos,0.0,0.0,0.0,0.0,5.3326,0.3979,4,C1,1.0,4.47
chaos,noun,,oxford5000,c1,chaos,,B1,cefrj:B1,efllex,chaos,noun,lemma+pos,0.0,0.0,0.0,0.0,6.9854,1.2795,3,C1,1.0,4.27
